ligand,target,activity,minuslog_activity
CHEMBL1095032,CHEMBL2016,4500.0,5.346787486224656
CHEMBL1095032,CHEMBL204,1200.0,5.920818753952375
CHEMBL1095032,CHEMBL244,3.5,8.455931955649724
CHEMBL1095097,CHEMBL1994,2600.0,5.585026652029182
CHEMBL1095777,CHEMBL210,76.0,7.119186407719209
CHEMBL1095777,CHEMBL213,91.4,7.039053804266168
CHEMBL1095777,CHEMBL234,1048.0,5.979638717352292
CHEMBL1096,CHEMBL1293267,4000.0,5.3979400086720375
CHEMBL1096,CHEMBL3529,5128.61,5.290000325166601
CHEMBL1096,CHEMBL5408,851.14,6.069998998990925
CHEMBL1096146,CHEMBL3892,109.0,6.962573502059376
CHEMBL1096146,CHEMBL4333,9.7,8.013228265733755
CHEMBL1096380,CHEMBL1906,8900.0,5.050609993355088
CHEMBL109648,CHEMBL1785,175.0,6.756961951313706
CHEMBL109648,CHEMBL252,1.7,8.769551078621726
CHEMBL1096882,CHEMBL4789,130.9,6.8830603534492445
CHEMBL1096896,CHEMBL251,4.0,8.397940008672037
CHEMBL1097999,CHEMBL1974,5.0,8.301029995663981
CHEMBL1097999,CHEMBL3587,50.0,7.301029995663981
CHEMBL11,CHEMBL217,410.0,6.3872161432802645
CHEMBL11,CHEMBL222,74.0,7.130768280269024
CHEMBL11,CHEMBL224,220.0,6.657577319177793
CHEMBL11,CHEMBL228,1300.0,5.886056647693163
CHEMBL11,CHEMBL231,27.0,7.568636235841013
CHEMBL11,CHEMBL240,3388.44,5.470000200122707
CHEMBL1101,CHEMBL1821,32.1,7.493494967595128
CHEMBL1101,CHEMBL211,13.7,7.863279432843593
CHEMBL1101,CHEMBL216,2.36,8.627087997029893
CHEMBL1101,CHEMBL245,5.95,8.22548303427145
CHEMBL110458,CHEMBL2524,70.0,7.154901959985743
CHEMBL1106,CHEMBL1743122,4300.0,5.366531544420414
CHEMBL1106,CHEMBL1743126,1100.0,5.958607314841775
CHEMBL1107,CHEMBL240,7500.0,5.1249387366083
CHEMBL110739,CHEMBL1994,0.5,9.301029995663981
CHEMBL110739,CHEMBL3305,457.09,6.339998279897117
CHEMBL1108,CHEMBL240,32.36,7.489991487059766
CHEMBL111,CHEMBL1075322,2010.0,5.696803942579511
CHEMBL111,CHEMBL218,158.49,6.799998134593398
CHEMBL111,CHEMBL240,4800.0,5.318758762624412
CHEMBL1110,CHEMBL1899,0.5,9.301029995663981
CHEMBL1110,CHEMBL240,3235.94,5.489999539566098
CHEMBL1111,CHEMBL1785,195.0,6.709965388637482
CHEMBL1111,CHEMBL252,1.0,9.0
CHEMBL1112,CHEMBL1833,1.259,8.899974269892137
CHEMBL1112,CHEMBL1850,1600.0,5.795880017344075
CHEMBL1112,CHEMBL1867,100.0,7.0
CHEMBL1112,CHEMBL1898,1000.0,6.0
CHEMBL1112,CHEMBL1899,1000.0,6.0
CHEMBL1112,CHEMBL1916,100.0,7.0
CHEMBL1112,CHEMBL1942,1000.0,6.0
CHEMBL1112,CHEMBL1983,100.0,7.0
CHEMBL1112,CHEMBL2056,1000.0,6.0
CHEMBL1112,CHEMBL214,285.0,6.54515513999149
CHEMBL1112,CHEMBL217,1100.0,5.958607314841775
CHEMBL1112,CHEMBL219,1000.0,6.0
CHEMBL1112,CHEMBL224,2790.0,5.554395796726403
CHEMBL1112,CHEMBL225,1380.0,5.860120913598763
CHEMBL1112,CHEMBL228,1080.0,5.966576244513051
CHEMBL1112,CHEMBL229,170.0,6.769551078621726
CHEMBL1112,CHEMBL231,420.0,6.376750709602099
CHEMBL1112,CHEMBL232,100.0,7.0
CHEMBL1112,CHEMBL234,20.0,7.698970004336019
CHEMBL1112,CHEMBL240,3860.0,5.413412695328245
CHEMBL1112,CHEMBL3155,100.0,7.0
CHEMBL1112,CHEMBL3371,574.0,6.241088107602026
CHEMBL1112,CHEMBL3426,1000.0,6.0
CHEMBL1112,CHEMBL3707465,28.0,7.552841968657781
CHEMBL1112,CHEMBL4302,780.0,6.107905397309519
CHEMBL1113,CHEMBL214,221.0,6.655607726314889
CHEMBL1113,CHEMBL219,34.0,7.468521082957745
CHEMBL1113,CHEMBL224,1.77,8.752026733638193
CHEMBL1113,CHEMBL3155,500.0,6.301029995663981
CHEMBL1116,CHEMBL206,2.0,8.698970004336019
CHEMBL1116,CHEMBL242,43.0,7.366531544420414
CHEMBL1118,CHEMBL222,1500.0,5.823908740944319
CHEMBL1118,CHEMBL228,53.0,7.275724130399211
CHEMBL111861,CHEMBL3305,371.54,6.429994423238212
CHEMBL112,CHEMBL205,6200.0,5.2076083105017466
CHEMBL112,CHEMBL2326,9100.0,5.040958607678906
CHEMBL112,CHEMBL2406892,2300.0,5.638272163982407
CHEMBL112,CHEMBL2885,7100.0,5.1487416512809245
CHEMBL112,CHEMBL3242,4100.0,5.3872161432802645
CHEMBL1121,CHEMBL1901,1.318,8.880084589742008
CHEMBL1121,CHEMBL298,0.92,9.036212172654444
CHEMBL1128,CHEMBL220,5170.0,5.286509456906058
CHEMBL113,CHEMBL220,7250.0,5.139661993429006
CHEMBL113313,CHEMBL4616,3000.0,5.522878745280337
CHEMBL1134,CHEMBL220,1000.0,6.0
CHEMBL114,CHEMBL1835,2182.0,5.6611452537476765
CHEMBL1144,CHEMBL402,400.0,6.3979400086720375
CHEMBL114551,CHEMBL4481,1412.54,5.849999245077863
CHEMBL115,CHEMBL1743126,7800.0,5.107905397309519
CHEMBL115,CHEMBL1743127,7800.0,5.107905397309519
CHEMBL115,CHEMBL1835,1851.0,5.732593581247096
CHEMBL1159,CHEMBL1971,3540.0,5.450996737974212
CHEMBL1159650,CHEMBL6020,8500.0,5.070581074285707
CHEMBL116,CHEMBL1835,6727.0,5.172178572317198
CHEMBL1161,CHEMBL2034,0.7,9.154901959985743
CHEMBL1162,CHEMBL208,1.87,8.7281583934635
CHEMBL1162,CHEMBL3305,10.72,7.969805214643249
CHEMBL116438,CHEMBL203,8600.0,5.0655015487564325
